Dep_ID,month_UTC,light_reg,n_days,n_hours,bal_count,hbw_count,fish_c_count,dol_count,ves_count,mnk_count,spwh_count,shr_count,bal_pres,hbw_pres,fish_c_pres,dol_pres,ves_pres,mnk_pres,spwh_pres,shr_pres,tidal_mag_m,mean_water_temp_C,mean_wind_m_sec,mean_wind_km_h,rain_month_avg_mm,wind_am_month_avg_kmh,wind_pm_month_avg_kmh
SIMP_201808_WP,8,twilight,22,44,2,44,22,6,8,0,0,20,0.045454545454545456,1,0.5,0.13636363636363635,0.18181818181818182,0,0,0.45454545454545453,1.532,15.086363636363636,4.679545454545455,16.846363636363638,79.5,11.5,18.2
SIMP_201812_WP,12,day,20,280,0,10,19,1,51,0,0,20,0,0.03571428571428571,0.06785714285714285,0.0035714285714285713,0.18214285714285713,0,0,0.07142857142857142,1.869,20.884642857142858,3.157857142857143,11.368285714285715,144.9,15.1,22.5
SIMP_201812_WP,12,night,20,160,0,0,28,15,0,0,0,2,0,0,0.175,0.09375,0,0,0,0.0125,1.213,20.91875,2.975,10.71,144.9,15.1,22.5
SIMP_201812_WP,12,twilight,20,40,0,0,40,1,3,0,0,38,0,0,1,0.025,0.075,0,0,0.95,1.287,21.05,3.16,11.376,144.9,15.1,22.5
SIMP_201906_WP,6,day,22,213,0,195,35,6,29,100,0,0,0,0.9154929577464789,0.1643192488262911,0.028169014084507043,0.13615023474178403,0.4694835680751174,0,0,1.218,18.74788732394366,3.775586854460094,13.592112676056338,120.8,10.5,14.7
SIMP_201906_WP,6,night,22,258,0,231,36,35,6,101,0,22,0,0.8953488372093024,0.13953488372093023,0.13565891472868216,0.023255813953488372,0.39147286821705424,0,0.08527131782945736,1.597,18.761627906976745,3.532170542635659,12.715813953488372,120.8,10.5,14.7
SIMP_201906_WP,6,twilight,22,43,0,39,22,1,2,13,0,38,0,0.9069767441860465,0.5116279069767442,0.023255813953488372,0.046511627906976744,0.3023255813953488,0,0.8837209302325582,1.214,18.769767441860466,3.402325581395349,12.248372093023256,120.8,10.5,14.7
SIMP_201906_WP,7,day,31,328,0,328,37,16,76,25,0,18,0,1,0.11280487804878049,0.04878048780487805,0.23170731707317074,0.07621951219512195,0,0.054878048780487805,1.613,16.635670731707318,4.592378048780488,16.532560975609755,72.5,10.3,15.5
SIMP_201906_WP,7,night,31,355,0,353,19,70,7,19,0,23,0,0.9943661971830986,0.05352112676056338,0.19718309859154928,0.01971830985915493,0.05352112676056338,0,0.0647887323943662,1.944,16.68338028169014,4.165352112676056,14.995267605633803,72.5,10.3,15.5
SIMP_201906_WP,7,twilight,31,61,0,61,9,6,4,4,0,52,0,1,0.14754098360655737,0.09836065573770492,0.06557377049180328,0.06557377049180328,0,0.8524590163934426,1.762,16.7,3.762295081967213,13.544262295081968,72.5,10.3,15.5
SWC_202201_SWS,2,day,28,372,0,0,12,127,68,0,5,0,0,0,0.03225806451612903,0.34139784946236557,0.1827956989247312,0,0.013440860215053764,0,0.948,24.563709677419354,3.245430107526882,11.683548387096774,11.6,28.2,30.5
SWC_202201_SWS,2,night,28,242,0,0,7,45,40,0,0,0,0,0,0.028925619834710745,0.1859504132231405,0.1652892561983471,0,0,0,0.8820000000000001,24.728512396694214,2.6388429752066114,9.499834710743801,11.6,28.2,30.5
SWC_202201_SWS,2,twilight,28,58,0,0,24,19,11,0,0,0,0,0,0.41379310344827586,0.3275862068965517,0.1896551724137931,0,0,0,0.8640000000000001,24.662068965517243,2.825862068965517,10.173103448275862,11.6,28.2,30.5
SWC_202201_SWS,3,day,31,372,5,0,7,108,63,0,2,0,0.013440860215053764,0,0.01881720430107527,0.2903225806451613,0.1693548387096774,0,0.005376344086021506,0,0.92,23.42311827956989,3.3849462365591396,12.185806451612903,23,26.6,27
SWC_202201_SWS,3,night,31,310,15,0,12,59,45,0,2,0,0.04838709677419355,0,0.03870967741935484,0.19032258064516128,0.14516129032258066,0,0.0064516129032258064,0,0.8540000000000001,23.473548387096773,2.6206451612903225,9.434322580645162,23,26.6,27
SWC_202201_SWS,3,twilight,31,62,1,0,17,15,13,0,0,0,0.016129032258064516,0,0.27419354838709675,0.24193548387096775,0.20967741935483872,0,0,0,0.896,23.461290322580645,2.935483870967742,10.567741935483872,23,26.6,27
