height_cm,YYYYMMDD,hhmm/
150,20191020,2300/
182,20191021,0000/
207,20191021,0100/
218,20191021,0200/
212,20191021,0300/
194,20191021,0400/
162,20191021,0500/
126,20191021,0600/
94,20191021,0700/
71,20191021,0800/
62,20191021,0900/
65,20191021,1000/
82,20191021,1100/
109,20191021,1200/
137,20191021,1300/
159,20191021,1400/
169,20191021,1500/
169,20191021,1600/
159,20191021,1700/
139,20191021,1800/
118,20191021,1900/
106,20191021,2000/
106,20191021,2100/
116,20191021,2200/
135,20191021,2300/
160,20191022,0000/
185,20191022,0100/
201,20191022,0200/
208,20191022,0300/
200,20191022,0400/
180,20191022,0500/
154,20191022,0600/
126,20191022,0700/
103,20191022,0800/
88,20191022,0900/
82,20191022,1000/
85,20191022,1100/
98,20191022,1200/
116,20191022,1300/
137,20191022,1400/
153,20191022,1500/
160,20191022,1600/
161,20191022,1700/
154,20191022,1800/
141,20191022,1900/
127,20191022,2000/
120,20191022,2100/
122,20191022,2200/
131,20191022,2300/
149,20191023,0000/
163,20191023,0100/
174,20191023,0200/
178,20191023,0300/
184,20191023,0400/
179,20191023,0500/
170,20191023,0600/
154,20191023,0700/
137,20191023,0800/
117,20191023,0900/
100,20191023,1000/
91,20191023,1100/
91,20191023,1200/
99,20191023,1300/
112,20191023,1400/
131,20191023,1500/
145,20191023,1600/
153,20191023,1700/
156,20191023,1800/
151,20191023,1900/
143,20191023,2000/
135,20191023,2100/
128,20191023,2200/
128,20191023,2300/
131,20191024,0000/
135,20191024,0100/
141,20191024,0200/
148,20191024,0300/
157,20191024,0400/
161,20191024,0500/
163,20191024,0600/
163,20191024,0700/
159,20191024,0800/
147,20191024,0900/
130,20191024,1000/
114,20191024,1100/
100,20191024,1200/
91,20191024,1300/
92,20191024,1400/
100,20191024,1500/
116,20191024,1600/
136,20191024,1700/
154,20191024,1800/
164,20191024,1900/
169,20191024,2000/
165,20191024,2100/
157,20191024,2200/
144,20191024,2300/
131,20191025,0000/
121,20191025,0100/
118,20191025,0200/
118,20191025,0300/
129,20191025,0400/
145,20191025,0500/
162,20191025,0600/
176,20191025,0700/
183,20191025,0800/
182,20191025,0900/
171,20191025,1000/
152,20191025,1100/
128,20191025,1200/
106,20191025,1300/
90,20191025,1400/
88,20191025,1500/
97,20191025,1600/
116,20191025,1700/
146,20191025,1800/
173,20191025,1900/
191,20191025,2000/
202,20191025,2100/
195,20191025,2200/
178,20191025,2300/
152,20191026,0000/
126,20191026,0100/
106,20191026,0200/
97,20191026,0300/
101,20191026,0400/
116,20191026,0500/
140,20191026,0600/
168,20191026,0700/
