SiteID,Start.date,Start.hour,PresentTotal,PresenceTime,CPAPresent,TBPresent,ManeuverCPAPres,ManeuverTAPres,TAPresent,VesselCount,HumpbackPresent,DolphinPresent,Baleen,Minke,Other_Bio,FishChorusP,SnappingShrimp,Notes,ExtraNotes,Biology,Weekday
West Pimpernel,1/6/2019,19,0,,0,0,0,0,0,0,1,0,0,0,,1,1,500 hz,,"Baleen Whales, Fish Chorus, Snapping Shrimp",Sunday
West Pimpernel,1/6/2019,20,0,,0,0,0,0,0,0,0,0,0,0,,1,1,"1-2 khz, 500 hz",,"Fish Chorus, Snapping Shrimp",Sunday
West Pimpernel,1/6/2019,21,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Sunday
West Pimpernel,1/6/2019,22,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Sunday
West Pimpernel,1/6/2019,23,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,,"Delphinid spp., Snapping Shrimp",Sunday
West Pimpernel,1/7/2019,0,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,,"Delphinid spp., Snapping Shrimp",Monday
West Pimpernel,1/7/2019,1,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,2,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,3,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,4,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,5,0,,0,0,0,0,0,0,0,0,0,0,,1,1,1-2 khz,,"Fish Chorus, Snapping Shrimp",Monday
West Pimpernel,1/7/2019,6,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,7,1,,0,2,0,0,0,2,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,8,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,9,1,,0,0,0,0,1,1,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,10,1,,0,0,0,1,1,2,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,11,1,,0,0,0,1,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,12,1,,0,0,0,0,2,2,0,0,0,0,,0,1,,possible whale downsweep 12:05:02,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,13,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,14,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,,chirps at 14:04:03,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,15,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,lots of dolphin activity,"Delphinid spp., Snapping Shrimp",Monday
West Pimpernel,1/7/2019,16,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,17,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,18,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/7/2019,19,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Monday
West Pimpernel,1/7/2019,20,0,,0,0,0,0,0,0,0,0,0,0,,1,1,"1-2 khz, 500 hz",,"Fish Chorus, Snapping Shrimp",Monday
West Pimpernel,1/7/2019,21,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Monday
West Pimpernel,1/7/2019,22,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Monday
West Pimpernel,1/7/2019,23,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
West Pimpernel,1/8/2019,0,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,1,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,2,1,,0,2,0,0,0,2,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,3,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,4,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,5,0,,0,0,0,0,0,0,0,0,0,0,,1,1,1-2 khz,,"Fish Chorus, Snapping Shrimp",Tuesday
West Pimpernel,1/8/2019,6,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,7,1,,0,2,0,0,0,2,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,8,1,,0,0,0,0,1,1,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,9,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,10,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,11,1,,0,0,0,0,1,1,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,12,1,,0,2,0,0,0,2,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,13,1,,0,1,0,0,1,2,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,14,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,15,1,,0,2,1,1,0,4,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,16,1,,2,0,2,1,0,5,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,17,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,18,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
West Pimpernel,1/8/2019,19,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Tuesday
West Pimpernel,1/8/2019,20,0,,0,0,0,0,0,0,0,0,0,0,,1,1,"1-2 khz, 500 hz",,"Fish Chorus, Snapping Shrimp",Tuesday
West Pimpernel,1/8/2019,21,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Tuesday
West Pimpernel,1/8/2019,22,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Tuesday
West Pimpernel,1/8/2019,23,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Tuesday
West Pimpernel,1/9/2019,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,1,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,2,1,,0,3,0,0,0,3,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,3,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,4,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,5,0,,0,0,0,0,0,0,0,0,0,0,,1,1,1-2 khz,,"Fish Chorus, Snapping Shrimp",Wednesday
West Pimpernel,1/9/2019,6,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,7,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,8,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,9,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Wednesday
West Pimpernel,1/9/2019,10,1,,0,0,0,1,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,11,1,,0,1,0,1,0,2,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,12,1,,0,2,0,0,0,2,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Wednesday
West Pimpernel,1/9/2019,13,1,,0,1,0,0,0,1,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Wednesday
West Pimpernel,1/9/2019,14,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,15,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,16,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Wednesday
West Pimpernel,1/9/2019,17,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Wednesday
West Pimpernel,1/9/2019,18,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Wednesday
West Pimpernel,1/9/2019,19,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Wednesday
West Pimpernel,1/9/2019,20,0,,0,0,0,0,0,0,0,0,0,0,,1,1,"1-2 khz, 500 hz",,"Fish Chorus, Snapping Shrimp",Wednesday
West Pimpernel,1/9/2019,21,0,,0,0,0,0,0,0,0,1,0,0,,1,1,500 hz,,"Delphinid spp., Fish Chorus, Snapping Shrimp",Wednesday
West Pimpernel,1/9/2019,22,0,,0,0,0,0,0,0,1,0,0,0,,1,1,500 hz,,"Baleen Whales, Fish Chorus, Snapping Shrimp",Wednesday
West Pimpernel,1/9/2019,23,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Wednesday
West Pimpernel,1/10/2019,0,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Thursday
West Pimpernel,1/10/2019,1,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Thursday
West Pimpernel,1/10/2019,2,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Thursday
West Pimpernel,1/10/2019,3,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
West Pimpernel,1/10/2019,4,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
West Pimpernel,1/10/2019,5,0,,0,0,0,0,0,0,0,0,0,0,,1,1,1-2 khz,,"Fish Chorus, Snapping Shrimp",Thursday
West Pimpernel,1/10/2019,6,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
West Pimpernel,1/10/2019,7,1,,0,2,0,0,0,2,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
West Pimpernel,1/10/2019,8,1,,0,2,0,0,0,2,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
West Pimpernel,1/10/2019,9,1,,0,2,0,0,0,2,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
West Pimpernel,1/10/2019,10,1,,0,1,0,0,1,2,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
West Pimpernel,1/10/2019,11,1,,0,0,0,0,1,1,0,0,0,0,,0,1,,,"Delphinid spp., Snapping Shrimp",Thursday
West Pimpernel,1/10/2019,12,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
West Pimpernel,1/10/2019,13,1,,0,0,0,1,0,1,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Thursday
West Pimpernel,1/10/2019,14,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
West Pimpernel,1/10/2019,15,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Thursday
West Pimpernel,1/10/2019,16,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Thursday
