"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
30 "Spectrogram 1" 1 50877.851970745 50878.851045328 905.66 1913.208 "2019/9/26" "18:59:50.8520" "18:59:51.8510" 0.9991 "fish" "p" ""
31 "Spectrogram 1" 1 50901.996273185 50905.271017653 226.415 747.17 "2019/9/26" "19:00:14.9963" "19:00:17.2710" 3.2747 "mn" "song" ""
32 "Spectrogram 1" 1 50911.931514878 50912.930589462 792.453 1800 "2019/9/26" "19:00:24.9315" "19:00:25.9306" 0.9991 "fish" "p" ""
33 "Spectrogram 1" 1 51201.962979032 51203.517095051 0 169.811 "2019/9/26" "19:05:14.9630" "19:05:16.5171" 1.5541 "uk" "uk" "LF pulses [these look like possible baleen whales! they're more downsweeps than just pulses; ask Gen --JM]"
34 "Spectrogram 1" 1 52304.608669596 52306.440306333 996.226 2592.453 "2019/9/26" "19:23:37.6087" "19:23:39.4403" 1.8316 "fish" "p" "?"
35 "Spectrogram 1" 1 54508.00737818 54509.72800663 169.811 622.642 "2019/9/26" "20:00:20.0074" "20:00:22.7280" 1.7206 "mn" "song" ""
36 "Spectrogram 1" 1 54745.209961012 54745.876010735 0 113.208 "2019/9/26" "20:04:17.2100" "20:04:18.8760" 0.666 "uk" "uk" "LF pulse"
37 "Spectrogram 1" 1 56573.716901634 56575.437530084 996.226 2966.038 "2019/9/26" "20:34:46.7169" "20:34:48.4375" 1.7206 "fish" "p" ""
38 "Spectrogram 1" 1 58096.762226199 58098.704871223 192.453 532.075 "2019/9/26" "21:00:09.7622" "21:00:11.7049" 1.9426 "mn" "song" ""
39 "Spectrogram 1" 1 58175.678054984 58177.010154429 916.981 2184.906 "2019/9/26" "21:01:28.6781" "21:01:29.0102" 1.3321 "fish" "p" ""
40 "Spectrogram 1" 1 59576.403310515 59577.73540996 22.642 283.019 "2019/9/26" "21:24:49.4033" "21:24:50.7354" 1.3321 "mn" "song" "[mn, not fish -- JM]"
41 "Spectrogram 1" 1 60396.85849399 60400.00194036 39.837 1924.528 "2019/9/26" "21:38:29.8585" "21:38:32.0019" 3.1434 "minke" "boing" "YES I FOUND ONE!!!! "
42 "Spectrogram 1" 1 61693.504139223 61695.002751099 203.774 498.113 "2019/9/26" "22:00:06.5041" "22:00:07.0028" 1.4986 "mn" "song" ""
43 "Spectrogram 1" 1 61707.380175108 61711.043448582 226.415 509.434 "2019/9/26" "22:00:20.3802" "22:00:23.0434" 3.6633 "fish" "p" "faint"
44 "Spectrogram 1" 1 62306.098027309 62308.15168062 79.245 1200 "2019/9/26" "22:10:18.0980" "22:10:20.1517" 2.0537 "fish" "p" "loud"
45 "Spectrogram 1" 1 64845.485630897 64851.868607404 33.962 181.132 "2019/9/26" "22:52:37.4856" "22:52:43.8686" 6.383 "uk" "uk" "might just be something hitting the hydrophone [low rumble could also be wave or shifting around -- JM]"
46 "Spectrogram 1" 1 65329.098952725 65331.152606036 464.151 781.132 "2019/9/26" "23:00:40.0990" "23:00:42.1526" 2.0537 "mn" "song" ""
47 "Spectrogram 1" 1 68286.332999711 68289.60774418 0 249.057 "2019/9/26" "23:49:57.3330" "23:50:01.6077" 3.2747 "" "" "is this a vessel? [yep, but probably very far away -- JM]"
48 "Spectrogram 1" 1 68949.985168189 68951.761300782 192.12 624.389 "2019/9/27" "0:01:01.9852" "0:01:03.7613" 1.7761 "mn" "song" ""
49 "Spectrogram 1" 1 69120.092058146 69148.498187598 10.563 37.559 "2019/9/27" "0:03:51.0921" "0:04:20.4982" 28.4061 "uk" "uk" "might be baleen? ask Gen --JM added"
50 "Spectrogram 1" 1 69130.740037041 69132.183144773 112.07 392.244 "2019/9/27" "0:04:02.7400" "0:04:03.1831" 1.4431 "fish" "p" ""
51 "Spectrogram 1" 1 71256.110983137 71257.276570151 0 152.095 "2019/9/27" "0:39:27.1110" "0:39:28.2766" 1.1656 "uk" "uk" "LF pulse"
52 "Spectrogram 1" 1 72563.267315988 72565.265465156 392.244 920.573 "2019/9/27" "1:01:14.2673" "1:01:16.2655" 1.9981 "mn" "song" ""
53 "Spectrogram 1" 1 72620.486556314 72621.596639184 24.015 336.209 "2019/9/27" "1:02:12.4866" "1:02:13.5966" 1.1101 "fish" "p" ""
54 "Spectrogram 1" 1 73450.129491462 73453.404235931 0 12891.185 "2019/9/27" "1:16:01.1295" "1:16:04.4042" 3.2747 "uk" "uk" "this is probably abiotic but it was loud and cool [could be a breach! -- JM]"
55 "Spectrogram 1" 1 73862.875085318 73865.816804926 0 96.06 "2019/9/27" "1:22:54.8751" "1:22:57.8168" 2.9417 "uk" "uk" "LF pulses"
56 "Spectrogram 1" 1 73886.181293941 73888.623476257 280.174 944.588 "2019/9/27" "1:23:17.1813" "1:23:20.6235" 2.4422 "fish" "p" ""
57 "Spectrogram 1" 1 76108.728932046 76110.893593644 664.414 856.533 "2019/9/27" "2:00:20.7289" "2:00:22.8936" 2.1647 "mn" "song" ""
58 "Spectrogram 1" 1 77095.049001079 77097.158158534 0 96.06 "2019/9/27" "2:16:46.0490" "2:16:48.1582" 2.1092 "uk" "uk" "LF pulses"
59 "Spectrogram 1" 1 77943.396832601 77944.451411328 16.01 536.334 "2019/9/27" "2:30:54.3968" "2:30:56.4514" 1.0546 "fish" "p" ""
60 "Spectrogram 1" 1 79689.824208256 79692.266390572 104.065 400.249 "2019/9/27" "3:00:01.8242" "3:00:03.2664" 2.4422 "mn" "song" ""
61 "Spectrogram 1" 1 79837.060106075 79838.891742811 0 96.06 "2019/9/27" "3:02:28.0601" "3:02:30.8917" 1.8316 "uk" "uk" "LF pulses"
62 "Spectrogram 1" 1 80686.851045328 80687.794615769 560.349 1633.016 "2019/9/27" "3:16:38.8510" "3:16:39.7946" 0.9436 "fish" "p" ""
63 "Spectrogram 1" 1 80755.448635079 80756.225693089 0 880.548 "2019/9/27" "3:17:47.4486" "3:17:47.2257" 0.7771 "fish" "p" ""
64 "Spectrogram 1" 1 83298.221991424 83300.719677883 224.14 528.329 "2019/9/27" "4:00:09.2220" "4:00:12.7197" 2.4977 "mn" "song" ""
65 "Spectrogram 1" 1 83342.564270448 83343.896369893 0 72.045 "2019/9/27" "4:00:54.5643" "4:00:55.8964" 1.3321 "uk" "uk" "LF pulses"
1 "Spectrogram 1" 1 3.597204805 6.216528691 244.768 856.687 "2019/9/27" "4:51:44.5972" "4:51:47.2165" 2.6193 "mn" "song" ""
2 "Spectrogram 1" 1 77.399293389 78.621644536 0 138.702 "2019/9/27" "4:52:58.3993" "4:52:59.6216" 1.2224 "uk" "uk" "LF pulses"
3 "Spectrogram 1" 1 265.173440435 266.4307159 456.9 995.389 "2019/9/27" "4:56:06.1734" "4:56:07.4307" 1.2573 "fish" "p" ""
4 "Spectrogram 1" 1 548.905701215 550.826538732 171.337 652.714 "2019/9/27" "5:00:49.9057" "5:00:51.8265" 1.9208 "mn" "song" ""
5 "Spectrogram 1" 1 595.739212311 596.332925725 342.675 938.276 "2019/9/27" "5:01:36.7392" "5:01:37.3329" 0.5937 "fish" "p" ""
6 "Spectrogram 1" 1 593.259585698 594.37716389 0 106.066 "2019/9/27" "5:01:34.2596" "5:01:35.3772" 1.1176 "uk" "uk" "LF pulse"
7 "Spectrogram 1" 1 2401.487738674 2403.129181643 7470.051 8188.037 "2019/9/27" "5:31:42.4877" "5:31:44.1292" 1.6414 "dol" "w" ""
8 "Spectrogram 1" 1 4134.384146876 4135.641422342 179.496 538.489 "2019/9/27" "6:00:35.3841" "6:00:36.6414" 1.2573 "mn" "song" ""
9 "Spectrogram 1" 1 4183.662360266 4184.74501414 0 179.496 "2019/9/27" "6:01:24.6624" "6:01:25.7450" 1.0827 "uk" "uk" "LF pulses"
10 "Spectrogram 1" 1 4828.554095921 4829.49705252 995.389 2153.956 "2019/9/27" "6:12:09.5541" "6:12:10.4971" 0.943 "fish" "p" "clicks"
11 "Spectrogram 1" 1 5281.271220399 5282.214176998 1938.462 11180.769 "2019/9/27" "6:19:42.2712" "6:19:43.2142" 0.943 "uk" "uk" "? VERY high frequency pop"
12 "Spectrogram 1" 1 7720.03722434 7721.678667309 207.692 530.769 "2019/9/27" "7:00:21.0372" "7:00:22.6787" 1.6414 "mn" "song" ""
13 "Spectrogram 1" 1 7735.054681291 7736.556426986 0 184.615 "2019/9/27" "7:00:36.0547" "7:00:37.5564" 1.5017 "uk" "uk" "LF pulses"
