"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
70 "Spectrogram 1" 1 20787.919212956 20793.624619381 10648.276 23117.241 "2022/1/18" "22:03:45.9192" "22:03:51.6246" 5.7054 "uk" "uk" "snapping shrimp?"
66 "Spectrogram 1" 1 21024.660052142 21039.091374275 860.492 1941.859 "2022/1/18" "22:07:42.6601" "22:07:57.0914" 14.4313 "uk" "uk" "two big up-swoops, very faint"
67 "Spectrogram 1" 1 21109.569924228 21111.807338513 625.813 1044.555 "2022/1/18" "22:09:07.5699" "22:09:09.8073" 2.2374 "uk" "uk" "some kind of croak?"
68 "Spectrogram 1" 1 21282.421383507 21284.435056363 0 197.867 "2022/1/18" "22:12:00.4214" "22:12:02.4351" 2.0137 "uk" "uk" "maybe fish pulse, similar to annotation 64 - dark low frequency flag"
1 "Spectrogram 1" 1 6320.234416343 6329.18407348 3331.531 7859.469 "2022/1/19" "0:02:36.2344" "0:02:45.1841" 8.9497 "fish" "p" "[JM-- pulses; updated annot] fish chorus?"
2 "Spectrogram 1" 1 6613.805582077 6640.542682774 3110.656 6276.531 "2022/1/19" "0:07:29.8056" "0:07:56.5427" 26.7371 "uk" "uk" "[JM-- could be more sperm whales?] fish or shrimp?"
3 "Spectrogram 1" 1 8422.542682774 8425.675062772 6924.078 20668.113 "2022/1/19" "0:37:38.5427" "0:37:41.6751" 3.1324 "uk" "uk" "shrimp snap?"
4 "Spectrogram 1" 1 8757.394142053 8758.736590623 9475.054 22281.996 "2022/1/19" "0:43:13.3941" "0:43:14.7366" 1.3424 "uk" "uk" "shrimp snap?"
5 "Spectrogram 1" 1 10239.001860692 10242.581723547 0 208.243 "2022/1/19" "1:07:55.0019" "1:07:58.5817" 3.5799 "uk" "uk" "likely fish pulse, dark low-frequency flag call"
6 "Spectrogram 1" 1 11687.604720699 11690.065876411 13.015 117.137 "2022/1/19" "1:32:03.6047" "1:32:06.0659" 2.4612 "uk" "uk" "possible fish pulse"
7 "Spectrogram 1" 1 639.039137042 643.178353467 2559.653 2830.803 "2022/1/18" "22:27:55.0391" "22:27:59.1784" 4.1392 "uk" "uk" "downswoop, faint"
8 "Spectrogram 1" 1 1798.892477846 1800.794279988 0 298.265 "2022/1/18" "22:47:14.8925" "22:47:16.7943" 1.9018 "uk" "uk" "possible fish pulse"
9 "Spectrogram 1" 1 2144.036042832 2146.832810687 10.846 271.15 "2022/1/18" "22:53:00.0360" "22:53:02.8328" 2.7968 "uk" "uk" "possible fish pulse"
10 "Spectrogram 1" 1 5003.97760919 5005.208187047 0 195.228 "2022/1/18" "23:40:39.9776" "23:40:41.2082" 1.2306 "uk" "uk" "likely fish pulse, dark low-frequency flag call"
11 "Spectrogram 1" 1 5206.262272128 5207.38097927 6080.199 7134.429 "2022/1/18" "23:44:02.2623" "23:44:03.3810" 1.1187 "uk" "uk" "single line, unsure if significant"
12 "Spectrogram 1" 1 5584.743309949 5586.421370662 0 266.811 "2022/1/18" "23:50:20.7433" "23:50:22.4214" 1.6781 "uk" "uk" "likely fish pulse, similar to dark low-frequency flag call"
13 "Spectrogram 1" 1 5781.311360641 5784.443740639 0 761.388 "2022/1/18" "23:53:37.3114" "23:53:40.4437" 3.1324 "uk" "uk" "hydrophone interference, followed by fish grunt?"
14 "Spectrogram 1" 1 14706.645856368 14708.212046367 8537.961 18377.44 "2022/1/19" "2:22:22.6459" "2:22:24.2120" 1.5662 "uk" "uk" "shrimp snap?"
15 "Spectrogram 1" 1 16233.896826406 16245.41950997 156.182 1633.406 "2022/1/19" "2:47:49.8968" "2:48:01.4195" 11.5227 "uk" "uk" "faint dark lines"
16 "Spectrogram 1" 1 16808.059157085 16812.198373511 4685.466 7184.382 "2022/1/19" "2:57:24.0592" "2:57:28.1984" 4.1392 "uk" "uk" "interesting curve, very faint"
17 "Spectrogram 1" 1 16973.518941346 16980.00744277 2687.636 2869.848 "2022/1/19" "3:00:09.5189" "3:00:16.0074" 6.4885 "uk" "uk" "very faint, may be fish pulse"
18 "Spectrogram 1" 1 19510.92603281 19516.407697807 0 767.896 "2022/1/19" "3:42:26.9260" "3:42:32.4077" 5.4817 "fish" "p" "faint"
19 "Spectrogram 1" 1 20367.352379208 20381.000606342 901.906 1914.25 "2022/1/19" "3:56:43.3524" "3:56:57.0006" 13.6482 "uk" "uk" "either fish pulse or shrimp"
20 "Spectrogram 1" 1 21004.612790644 21023.407070631 110.438 262.289 "2022/1/19" "4:07:20.6128" "4:07:39.4071" 18.7943 "uk" "uk" "may be fish pulse, faint"
21 "Spectrogram 1" 1 21309.259157085 21314.18146851 0 202.469 "2022/1/19" "4:12:25.2592" "4:12:30.1815" 4.9223 "uk" "uk" "likely fish pulse, dark low-frequency flag call"
1 "Spectrogram 1" 1 71149.621487764 71178.372261317 998.088 2432.122 "2022/1/20" "0:02:59.6215" "0:03:27.3723" 28.7508 "fish" "p" "faint"
2 "Spectrogram 1" 1 22167.475437215 22168.817885786 0 389.382 "2022/1/19" "10:26:39.4754" "10:26:41.8179" 1.3424 "uk" "uk" "likely fish pulse, dark low frequency flag call"
3 "Spectrogram 1" 1 22431.177122255 22434.645114396 2709.449 3893.819 "2022/1/19" "10:31:03.1771" "10:31:07.6451" 3.468 "uk" "uk" "possibly fish call, but lines are evenly space - odontecete or vessel?"
4 "Spectrogram 1" 1 23333.917944337 23335.931617192 5282.525 5525.888 "2022/1/19" "10:46:06.9179" "10:46:08.9316" 2.0137 "uk" "uk" "seems like fish pulse? But ~5.6 kHz"
5 "Spectrogram 1" 1 23488.086994342 23494.575495766 934.061 2017.03 "2022/1/19" "10:48:40.0870" "10:48:47.5755" 6.4885 "uk" "uk" "either fish pulses or sperm whale?"
6 "Spectrogram 1" 1 23794.13173924 23802.410172092 2289.476 3887.565 "2022/1/19" "10:53:46.1317" "10:53:54.4102" 8.2784 "fish" "p" ""
7 "Spectrogram 1" 1 23943.154736392 23960.942179951 737.094 978.011 "2022/1/19" "10:56:15.1547" "10:56:33.9422" 17.7874 "fish" "p" "evenly-spaced"
8 "Spectrogram 1" 1 24395.358568029 24404.084483737 2037.838 5234.015 "2022/1/19" "11:03:47.3586" "11:03:56.0845" 8.7259 "fish" "p" ""
9 "Spectrogram 1" 1 24769.58851871 24771.602191566 413.718 941.006 "2022/1/19" "11:10:02.5885" "11:10:04.6022" 2.0137 "fish" "p" "lower frequency"
10 "Spectrogram 1" 1 24829.114944492 24948.369125842 146.018 2157.825 "2022/1/19" "11:11:01.1149" "11:13:00.3691" 119.2542 "uk" "uk" "likely fish pulse, starts pretty evenly spaced out and gets faster"
11 "Spectrogram 1" 1 26408.159057269 26430.589141832 1589.325 2976.498 "2022/1/19" "11:37:20.1591" "11:37:43.5891" 22.4301 "fish" "p" "spaced out visible pulses as the fish chorus builds"
12 "Spectrogram 1" 1 26842.642599738 26856.178956158 2156.788 3900.574 "2022/1/19" "11:44:35.6426" "11:44:48.1790" 13.5364 "fish" "c" "chorus builds"
13 "Spectrogram 1" 1 27953.03787904 27966.126752603 365.046 1143.809 "2022/1/19" "12:03:05.0379" "12:03:18.1268" 13.0889 "fish" "p" ""
14 "Spectrogram 1" 1 28032.801698273 28041.75135541 1633.371 4334.708 "2022/1/19" "12:04:25.8017" "12:04:34.7514" 8.9497 "fish" "c" ""
15 "Spectrogram 1" 1 28414.526986806 28415.757564662 0 1982.193 "2022/1/19" "12:10:47.5270" "12:10:48.7576" 1.2306 "fish" "p" "'croak'"
16 "Spectrogram 1" 1 29492.256017557 29505.233020406 1471.293 3961.715 "2022/1/19" "12:28:44.2560" "12:28:57.2330" 12.977 "fish" "c" "double check - more intense"
17 "Spectrogram 1" 1 29645.865713992 29651.794861845 7158.7 10921.606 "2022/1/19" "12:31:18.8657" "12:31:24.7949" 5.9291 "uk" "uk" "could be a higher-frequency fish chorus, but was not able to identify a strong array of fish pulses to lead up to it"
18 "Spectrogram 1" 1 32439.467946823 32443.271551106 1873.901 2344.404 "2022/1/19" "13:17:51.4679" "13:17:55.2716" 3.8036 "uk" "uk" "likely fish pulse"
19 "Spectrogram 1" 1 32455.185772788 32459.548730643 0 3212.237 "2022/1/19" "13:18:07.1858" "13:18:12.5487" 4.363 "uk" "uk" "continuiation of fish chorus?"
20 "Spectrogram 1" 1 32548.217486858 32552.021091141 5085.064 5750.258 "2022/1/19" "13:19:40.2175" "13:19:44.0211" 3.8036 "uk" "uk" "likely fish pulse"
21 "Spectrogram 1" 1 32822.435019034 32826.014881888 2068.592 2701.337 "2022/1/19" "13:24:14.4350" "13:24:18.0149" 3.5799 "fish" "p" ""
22 "Spectrogram 1" 1 34822.370376139 34834.899896131 113.57 397.494 "2022/1/19" "13:57:34.3704" "13:57:47.8999" 12.5295 "uk" "uk" "two faint horizontal lines, might be faint vessel"
23 "Spectrogram 1" 1 35428.866341167 35432.446204022 0 1297.94 "2022/1/19" "14:07:41.8663" "14:07:44.4462" 3.5799 "uk" "uk" "likely fish pulse"
24 "Spectrogram 1" 1 35448.835272309 35453.310100878 0 3074.57 "2022/1/19" "14:08:01.8353" "14:08:05.3101" 4.4748 "uk" "uk" "continuation of fish chorus?"
25 "Spectrogram 1" 1 35677.51021798 35678.517054408 80.306 1388.145 "2022/1/19" "14:11:50.5102" "14:11:51.5171" 1.0068 "fish" "p" ""
26 "Spectrogram 1" 1 38215.58853373 38217.937818728 258.126 854.685 "2022/1/19" "14:54:08.5885" "14:54:10.9378" 2.3493 "uk" "uk" "might be part of vessel noise, but also might be fish pulse"
27 "Spectrogram 1" 1 39196.426320152 39201.460502292 5820.36 7850.953 "2022/1/19" "15:10:28.4263" "15:10:33.4605" 5.0342 "uk" "uk" "high frequency, might be shrimp/dolphin"
28 "Spectrogram 1" 1 40780.851433033 40782.753235175 3605.498 6274.387 "2022/1/19" "15:36:53.8514" "15:36:55.7532" 1.9018 "uk" "uk" "possibly fish pulse? but high frequency, maybe dolphin/shrimp"
29 "Spectrogram 1" 1 40814.077035154 40815.643225153 3074.723 3707.468 "2022/1/19" "15:37:26.0770" "15:37:28.6432" 1.5662 "fish" "p" ""
